Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionRiskScore,RiskLevel
47,No,Travel_Rarely,Research & Development,21,2,Life Sciences,2,Female,Manager,3,Single,7486,6,Yes,3,2,37,4,4,33,14,9,4,61.0,High
48,Yes,Travel_Rarely,Human Resources,25,1,Other,3,Male,Human Resources,3,Single,2499,4,Yes,4,1,16,5,3,15,2,5,15,51.5,Medium
55,No,Travel_Rarely,Research & Development,22,4,Other,2,Female,Research Scientist,2,Single,12340,9,No,3,2,28,3,4,24,10,1,9,51.8,Medium
28,No,Travel_Rarely,Research & Development,10,2,Other,1,Female,Healthcare Representative,1,Single,4417,6,Yes,3,3,11,4,2,11,5,1,10,65.3,High
52,No,Travel_Rarely,Sales,10,2,Other,3,Female,Sales Representative,3,Single,5902,0,Yes,3,0,9,4,4,6,2,2,6,41.6,Medium
25,No,Non-Travel,Sales,10,3,Technical Degree,4,Male,Sales Executive,1,Married,2847,7,Yes,3,1,42,0,4,38,10,7,15,58.2,Medium
20,No,Travel_Frequently,Sales,20,3,Marketing,4,Male,Sales Representative,3,Married,7583,2,Yes,3,3,17,6,3,16,14,7,3,48.9,Medium
31,Yes,Travel_Rarely,Research & Development,29,2,Technical Degree,1,Female,Research Director,4,Married,3743,6,No,3,3,13,0,2,10,10,9,4,30.2,Medium
30,No,Travel_Rarely,Research & Development,16,1,Medical,3,Male,Healthcare Representative,2,Single,7255,2,No,3,2,8,3,3,5,5,14,5,45.8,Medium
49,No,Non-Travel,Research & Development,1,3,Life Sciences,1,Male,Laboratory Technician,1,Divorced,7742,2,No,3,2,25,0,4,22,9,9,13,24.6,Low
51,Yes,Travel_Rarely,Sales,17,2,Life Sciences,1,Female,Sales Representative,1,Divorced,3332,9,No,3,0,29,0,1,26,5,9,8,66.7,High
36,No,Non-Travel,Human Resources,26,4,Human Resources,2,Male,Human Resources,4,Single,2504,8,Yes,3,1,8,6,4,5,5,15,5,58.9,Medium
55,No,Travel_Rarely,Research & Development,21,3,Life Sciences,4,Female,Research Scientist,3,Married,12321,1,Yes,3,3,38,5,4,37,17,11,5,42.7,Medium
33,No,Travel_Rarely,Sales,29,2,Technical Degree,1,Female,Manager,1,Single,4379,3,No,3,2,1,2,3,1,1,9,1,56.7,Medium
19,No,Travel_Rarely,Sales,14,5,Life Sciences,2,Female,Manager,3,Divorced,5624,5,No,4,2,23,3,1,21,6,10,16,38.4,Medium
57,No,Travel_Rarely,Sales,19,3,Life Sciences,1,Female,Sales Executive,4,Married,6576,2,No,4,1,19,6,1,19,14,13,8,40.4,Medium
34,Yes,Travel_Frequently,Research & Development,21,5,Life Sciences,1,Male,Healthcare Representative,2,Divorced,2316,9,No,3,1,26,3,3,24,17,11,2,47.6,Medium
51,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,Research Scientist,1,Single,6487,9,No,3,2,18,3,2,14,14,7,14,73.8,High
59,No,Travel_Rarely,Research & Development,17,3,Life Sciences,4,Female,Research Scientist,3,Married,5215,6,No,3,2,31,0,1,28,19,6,3,47.4,Medium
33,No,Travel_Frequently,Sales,14,5,Life Sciences,3,Male,Sales Executive,1,Single,3340,6,No,3,0,11,5,1,7,7,13,7,78.5,High
55,No,Travel_Frequently,Research & Development,8,1,Technical Degree,4,Female,Research Scientist,3,Married,2455,4,No,3,1,40,0,3,36,1,1,1,22.1,Low
19,No,Travel_Frequently,Sales,21,2,Life Sciences,2,Female,Sales Representative,3,Married,7069,2,No,3,3,34,4,2,32,7,0,16,35.3,Medium
19,Yes,Travel_Rarely,Sales,21,1,Life Sciences,3,Male,Manager,3,Single,9668,1,Yes,3,2,22,1,2,21,19,5,15,66.7,High
43,No,Travel_Frequently,Research & Development,9,1,Life Sciences,2,Female,Manager,4,Married,5470,3,No,3,2,7,1,4,4,1,10,4,18.1,Low
30,No,Travel_Frequently,Research & Development,8,2,Marketing,1,Male,Healthcare Representative,2,Married,2078,3,No,3,2,42,6,4,38,10,7,3,28.7,Low
48,No,Travel_Frequently,Research & Development,13,4,Medical,3,Male,Research Director,1,Divorced,2606,7,No,3,2,17,1,3,17,6,0,17,33.3,Medium
