Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,No,Travel_Rarely,Research & Development,21,2,Life Sciences,2,Female,Manager,3,Single,7486,6,Yes,3,2,37,4,4,33,14,9,4
48,Yes,Travel_Rarely,Human Resources,25,1,Other,3,Male,Human Resources,3,Single,2499,4,Yes,4,1,16,5,3,15,2,5,15
55,No,Travel_Rarely,Research & Development,22,4,Other,2,Female,Research Scientist,2,Single,12340,9,No,3,2,28,3,4,24,10,1,9
28,No,Travel_Rarely,Research & Development,10,2,Other,1,Female,Healthcare Representative,1,Single,4417,6,Yes,3,3,11,4,2,11,5,1,10
52,No,Travel_Rarely,Sales,10,2,Other,3,Female,Sales Representative,3,Single,5902,0,Yes,3,0,9,4,4,6,2,2,6
25,No,Non-Travel,Sales,10,3,Technical Degree,4,Male,Sales Executive,1,Married,2847,7,Yes,3,1,42,0,4,38,10,7,15
20,No,Travel_Frequently,Sales,20,3,Marketing,4,Male,Sales Representative,3,Married,7583,2,Yes,3,3,17,6,3,16,14,7,3
31,Yes,Travel_Rarely,Research & Development,29,2,Technical Degree,1,Female,Research Director,4,Married,3743,6,No,3,3,13,0,2,10,10,9,4
30,No,Travel_Rarely,Research & Development,16,1,Medical,3,Male,Healthcare Representative,2,Single,7255,2,No,3,2,8,3,3,5,5,14,5
49,No,Non-Travel,Research & Development,1,3,Life Sciences,1,Male,Laboratory Technician,1,Divorced,7742,2,No,3,2,25,0,4,22,9,9,13
51,Yes,Travel_Rarely,Sales,17,2,Life Sciences,1,Female,Sales Representative,1,Divorced,3332,9,No,3,0,29,0,1,26,5,9,8
36,No,Non-Travel,Human Resources,26,4,Human Resources,2,Male,Human Resources,4,Single,2504,8,Yes,3,1,8,6,4,5,5,15,5
55,No,Travel_Rarely,Research & Development,21,3,Life Sciences,4,Female,Research Scientist,3,Married,12321,1,Yes,3,3,38,5,4,37,17,11,5
33,No,Travel_Rarely,Sales,29,2,Technical Degree,1,Female,Manager,1,Single,4379,3,No,3,2,1,2,3,1,1,9,1
19,No,Travel_Rarely,Sales,14,5,Life Sciences,2,Female,Manager,3,Divorced,5624,5,No,4,2,23,3,1,21,6,10,16
57,No,Travel_Rarely,Sales,19,3,Life Sciences,1,Female,Sales Executive,4,Married,6576,2,No,4,1,19,6,1,19,14,13,8
34,Yes,Travel_Frequently,Research & Development,21,5,Life Sciences,1,Male,Healthcare Representative,2,Divorced,2316,9,No,3,1,26,3,3,24,17,11,2
51,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,Research Scientist,1,Single,6487,9,No,3,2,18,3,2,14,14,7,14
59,No,Travel_Rarely,Research & Development,17,3,Life Sciences,4,Female,Research Scientist,3,Married,5215,6,No,3,2,31,0,1,28,19,6,3
33,No,Travel_Frequently,Sales,14,5,Life Sciences,3,Male,Sales Executive,1,Single,3340,6,No,3,0,11,5,1,7,7,13,7
55,No,Travel_Frequently,Research & Development,8,1,Technical Degree,4,Female,Research Scientist,3,Married,2455,4,No,3,1,40,0,3,36,1,1,1
19,No,Travel_Frequently,Sales,21,2,Life Sciences,2,Female,Sales Representative,3,Married,7069,2,No,3,3,34,4,2,32,7,0,16
19,Yes,Travel_Rarely,Sales,21,1,Life Sciences,3,Male,Manager,3,Single,9668,1,Yes,3,2,22,1,2,21,19,5,15
43,No,Travel_Frequently,Research & Development,9,1,Life Sciences,2,Female,Manager,4,Married,5470,3,No,3,2,7,1,4,4,1,10,4
30,No,Travel_Frequently,Research & Development,8,2,Marketing,1,Male,Healthcare Representative,2,Married,2078,3,No,3,2,42,6,4,38,10,7,3
48,No,Travel_Frequently,Research & Development,13,4,Medical,3,Male,Research Director,1,Divorced,2606,7,No,3,2,17,1,3,17,6,0,17
51,No,Non-Travel,Sales,17,1,Medical,2,Female,Sales Executive,2,Single,3792,7,No,4,0,40,6,2,37,5,2,3
56,No,Travel_Frequently,Research & Development,19,1,Life Sciences,1,Female,Research Scientist,3,Divorced,12566,4,Yes,3,1,37,2,3,36,9,14,2
20,No,Travel_Rarely,Research & Development,28,1,Life Sciences,2,Male,Research Scientist,3,Divorced,4238,5,No,3,2,32,0,4,29,4,0,17
25,No,Travel_Rarely,Sales,7,4,Marketing,2,Male,Sales Executive,2,Divorced,3710,7,Yes,3,1,34,4,3,30,10,9,4
40,No,Non-Travel,Research & Development,17,3,Technical Degree,4,Male,Research Scientist,2,Married,1800,0,No,3,3,9,4,3,9,0,8,8
31,No,Travel_Rarely,Sales,1,5,Life Sciences,1,Male,Manager,1,Divorced,3314,4,No,3,3,18,1,1,14,1,6,14
44,No,Travel_Frequently,Sales,5,5,Medical,4,Male,Sales Representative,3,Married,2345,3,No,3,3,18,5,1,17,0,13,8
46,No,Travel_Rarely,Research & Development,25,4,Life Sciences,3,Male,Laboratory Technician,2,Single,2692,3,No,3,3,24,2,1,22,18,7,13
56,No,Travel_Rarely,Human Resources,6,1,Life Sciences,1,Female,Human Resources,4,Married,5281,1,No,4,1,32,6,4,32,1,8,1
56,No,Travel_Frequently,Research & Development,26,5,Marketing,4,Female,Healthcare Representative,3,Married,3863,9,Yes,3,3,16,2,3,15,15,2,15
18,No,Non-Travel,Research & Development,2,4,Medical,4,Male,Laboratory Technician,3,Divorced,13625,0,No,3,3,38,1,1,37,3,9,12
34,No,Travel_Rarely,Sales,27,2,Life Sciences,3,Male,Sales Representative,1,Married,9384,5,No,3,2,38,6,1,34,11,10,15
58,Yes,Travel_Rarely,Research & Development,25,5,Life Sciences,2,Female,Research Scientist,4,Single,3410,6,Yes,3,2,37,6,1,33,19,1,5
47,No,Travel_Rarely,Research & Development,16,2,Human Resources,2,Female,Healthcare Representative,1,Married,2835,4,Yes,3,2,31,1,4,27,17,5,15
30,No,Travel_Rarely,Sales,22,1,Technical Degree,2,Female,Sales Executive,4,Divorced,11266,7,No,3,0,3,0,4,1,0,4,1
38,Yes,Travel_Rarely,Research & Development,5,5,Other,3,Male,Laboratory Technician,1,Single,13306,8,No,3,2,32,5,3,29,0,3,9
36,No,Travel_Rarely,Sales,5,4,Medical,4,Male,Sales Representative,4,Married,1317,1,No,3,3,15,2,3,12,12,5,10
36,No,Travel_Rarely,Research & Development,12,3,Medical,1,Male,Research Director,4,Married,5196,3,No,4,1,44,4,3,40,3,14,4
42,No,Travel_Frequently,Sales,3,5,Life Sciences,3,Female,Sales Executive,4,Single,4225,8,Yes,3,3,19,1,1,15,4,5,15
39,No,Travel_Rarely,Research & Development,16,5,Life Sciences,2,Male,Manager,2,Single,7255,4,No,3,1,6,0,2,4,4,11,2
48,No,Travel_Rarely,Research & Development,6,5,Life Sciences,2,Male,Laboratory Technician,3,Married,15765,2,No,3,3,30,4,4,27,12,2,7
34,No,Travel_Rarely,Research & Development,15,5,Medical,1,Male,Research Scientist,4,Divorced,3675,5,Yes,3,0,40,2,1,38,15,13,10
40,No,Travel_Frequently,Research & Development,15,4,Life Sciences,3,Male,Research Director,2,Single,1427,2,Yes,3,2,20,1,1,19,12,1,2
49,No,Travel_Frequently,Sales,29,4,Technical Degree,2,Female,Sales Executive,2,Married,6956,4,No,3,3,26,6,3,23,1,8,11
27,Yes,Travel_Rarely,Human Resources,16,3,Life Sciences,3,Male,Manager,1,Married,11316,2,Yes,3,2,30,5,3,26,15,7,14
27,No,Travel_Rarely,Research & Development,20,4,Life Sciences,4,Female,Manager,3,Divorced,4095,5,No,3,0,29,1,1,29,5,13,15
53,No,Travel_Rarely,Research & Development,13,4,Life Sciences,3,Male,Research Director,3,Divorced,3219,9,No,3,0,27,5,4,26,13,3,4
25,No,Travel_Rarely,Research & Development,12,1,Life Sciences,4,Male,Research Director,1,Married,3780,4,Yes,3,2,25,0,4,25,0,5,5
37,No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,Male,Healthcare Representative,3,Divorced,8185,8,No,3,2,8,0,1,6,6,2,6
49,No,Travel_Rarely,Research & Development,14,2,Life Sciences,4,Male,Laboratory Technician,1,Single,3741,2,No,4,1,39,2,2,37,10,15,8
31,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,Manager,2,Married,5986,5,No,3,2,6,5,2,4,4,10,4
45,No,Travel_Frequently,Sales,29,1,Medical,1,Female,Manager,2,Married,4997,7,Yes,3,2,26,1,4,22,2,7,2
41,No,Travel_Rarely,Sales,3,3,Medical,2,Female,Sales Executive,4,Single,4697,6,No,3,1,29,0,3,27,10,2,13
32,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,Manager,1,Married,7485,5,No,4,3,33,1,2,33,4,1,4
39,No,Travel_Rarely,Research & Development,11,5,Medical,3,Male,Healthcare Representative,2,Single,3688,1,No,3,1,15,2,2,14,14,14,4
47,No,Travel_Rarely,Sales,11,3,Medical,1,Female,Manager,2,Divorced,3795,6,No,3,3,35,5,3,31,6,6,3
21,Yes,Travel_Rarely,Research & Development,25,5,Life Sciences,3,Male,Manager,1,Married,7931,7,No,3,3,26,1,2,25,9,13,15
30,No,Travel_Rarely,Research & Development,22,2,Technical Degree,2,Male,Research Director,2,Married,2718,0,Yes,3,3,32,4,1,30,10,15,12
40,No,Travel_Rarely,Sales,10,2,Medical,3,Male,Manager,3,Single,2898,8,No,3,1,21,1,2,18,2,2,7
25,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,Research Scientist,2,Single,2307,3,No,3,1,12,3,3,8,8,12,8
35,No,Travel_Rarely,Sales,14,5,Other,1,Male,Manager,1,Divorced,8179,7,No,3,0,30,3,1,28,9,8,1
29,No,Travel_Rarely,Research & Development,9,5,Technical Degree,2,Male,Healthcare Representative,3,Married,4614,9,No,3,3,42,6,2,38,9,14,7
48,No,Travel_Rarely,Sales,20,2,Human Resources,1,Male,Manager,3,Divorced,2234,6,Yes,3,1,6,2,4,3,3,2,2
31,Yes,Travel_Rarely,Human Resources,27,5,Marketing,2,Male,Manager,2,Single,8203,9,No,3,0,2,2,1,2,2,14,2
51,No,Travel_Frequently,Research & Development,21,4,Life Sciences,2,Male,Manager,4,Single,3521,6,No,3,3,28,2,1,28,14,7,10
35,Yes,Travel_Rarely,Sales,10,4,Life Sciences,1,Female,Sales Executive,3,Married,2913,1,No,4,1,10,4,4,10,9,1,0
51,No,Travel_Rarely,Sales,22,5,Medical,4,Female,Sales Representative,1,Married,4370,0,No,4,1,35,5,4,32,9,8,0
28,No,Travel_Rarely,Research & Development,29,5,Human Resources,3,Male,Healthcare Representative,4,Single,11935,3,No,3,1,38,4,2,37,18,0,7
58,No,Travel_Rarely,Research & Development,9,1,Medical,4,Male,Laboratory Technician,4,Married,3877,1,Yes,3,2,13,6,2,10,0,11,10
29,No,Travel_Rarely,Research & Development,29,1,Other,2,Female,Manager,3,Married,6941,7,No,3,0,29,1,3,26,9,2,9
32,No,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,Research Director,2,Single,7602,9,No,3,1,34,0,3,32,1,10,1
48,No,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,Sales Executive,4,Married,6412,6,No,3,2,20,5,1,20,16,13,15
46,No,Non-Travel,Research & Development,11,3,Other,1,Male,Research Director,2,Married,10536,7,No,3,0,42,3,4,38,6,1,3
43,Yes,Travel_Rarely,Sales,1,2,Marketing,4,Male,Sales Representative,3,Married,3215,5,No,4,0,31,3,4,30,6,12,8
35,No,Travel_Rarely,Research & Development,21,4,Human Resources,3,Male,Healthcare Representative,1,Married,2628,0,Yes,4,2,41,6,3,37,19,13,2
49,No,Travel_Rarely,Research & Development,10,2,Marketing,3,Male,Manager,4,Married,2597,8,No,3,0,3,3,1,1,1,12,1
39,No,Non-Travel,Research & Development,1,5,Medical,3,Female,Research Director,1,Single,4506,5,No,3,2,28,6,1,26,1,11,7
55,No,Travel_Frequently,Sales,26,1,Medical,3,Male,Manager,2,Divorced,2784,9,No,4,3,36,1,3,35,13,14,6
34,No,Travel_Rarely,Research & Development,22,5,Other,4,Female,Laboratory Technician,2,Divorced,5369,0,No,4,1,14,1,3,10,10,6,0
40,No,Travel_Frequently,Research & Development,7,5,Medical,1,Female,Research Director,1,Married,5147,0,No,4,2,18,2,3,17,0,4,7
41,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Female,Laboratory Technician,3,Single,9055,7,No,3,0,1,0,2,0,0,14,0
25,No,Travel_Rarely,Research & Development,14,5,Medical,3,Male,Laboratory Technician,3,Married,5852,5,Yes,3,0,34,2,1,34,19,7,10
58,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,Research Scientist,4,Married,3828,7,Yes,3,3,38,1,1,34,18,1,6
23,No,Travel_Frequently,Research & Development,17,1,Life Sciences,4,Female,Manager,4,Divorced,6288,7,No,3,3,30,4,1,30,3,7,8
22,No,Travel_Rarely,Sales,22,5,Marketing,1,Female,Sales Representative,3,Divorced,2648,7,No,3,3,27,2,3,27,7,6,13
46,No,Travel_Rarely,Research & Development,26,3,Life Sciences,2,Female,Research Scientist,3,Divorced,4803,9,No,3,3,38,5,3,38,12,11,4
45,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,Healthcare Representative,1,Single,5952,6,No,4,3,3,1,3,0,0,10,0
28,No,Travel_Frequently,Research & Development,6,4,Technical Degree,3,Male,Research Director,2,Divorced,5311,6,Yes,4,1,26,1,3,24,8,4,12
18,No,Travel_Rarely,Research & Development,16,3,Medical,1,Female,Laboratory Technician,2,Married,6304,9,No,3,2,39,4,4,37,8,1,4
60,No,Travel_Rarely,Research & Development,11,2,Technical Degree,1,Male,Manager,4,Divorced,3339,3,Yes,4,3,22,4,3,19,17,9,7
36,No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,Male,Research Scientist,3,Married,9810,8,No,3,3,3,4,2,2,2,10,2
26,No,Travel_Rarely,Research & Development,15,1,Human Resources,1,Male,Laboratory Technician,1,Single,14666,1,No,3,1,5,0,4,1,1,6,1
44,No,Travel_Rarely,Sales,7,1,Life Sciences,2,Male,Sales Executive,4,Married,1878,8,No,3,2,21,5,4,17,10,9,0
51,No,Travel_Rarely,Sales,23,5,Life Sciences,4,Male,Sales Representative,1,Single,2369,9,Yes,3,3,13,1,3,9,6,3,5
21,No,Travel_Rarely,Sales,2,5,Other,3,Male,Sales Representative,3,Married,5043,2,No,3,2,4,4,1,4,4,3,4
53,No,Travel_Rarely,Research & Development,12,2,Marketing,3,Male,Research Scientist,3,Divorced,4213,1,No,3,2,12,0,3,8,5,7,6
35,No,Travel_Rarely,Research & Development,19,3,Life Sciences,1,Female,Research Director,3,Single,15334,3,No,3,1,5,3,1,1,1,5,1
32,No,Travel_Rarely,Research & Development,12,5,Human Resources,4,Male,Manager,2,Single,5607,4,Yes,3,1,37,5,3,33,15,8,6
30,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,Laboratory Technician,3,Single,11333,1,No,4,3,39,6,3,37,14,10,8
36,No,Non-Travel,Sales,6,3,Human Resources,2,Female,Manager,4,Married,1437,0,No,3,0,33,6,1,30,6,14,0
23,No,Non-Travel,Research & Development,3,5,Medical,4,Male,Healthcare Representative,2,Divorced,8010,9,No,3,1,10,3,1,9,9,1,9
29,No,Travel_Rarely,Research & Development,2,5,Medical,4,Male,Manager,1,Single,3199,4,Yes,3,2,14,3,1,11,4,4,0
54,Yes,Travel_Frequently,Sales,20,2,Medical,4,Female,Manager,4,Single,3168,8,Yes,3,2,39,1,1,35,15,5,17
34,No,Travel_Rarely,Sales,5,4,Life Sciences,4,Female,Sales Representative,4,Divorced,4234,4,No,3,3,21,0,2,20,0,7,4
40,No,Non-Travel,Sales,11,1,Medical,1,Male,Sales Representative,1,Divorced,2090,9,No,3,3,6,0,1,5,5,3,2
43,No,Travel_Rarely,Sales,26,5,Medical,2,Male,Sales Executive,2,Single,6410,8,No,3,3,5,3,3,2,2,10,1
46,No,Travel_Rarely,Research & Development,25,5,Life Sciences,4,Female,Research Director,4,Married,5510,9,No,3,2,12,5,3,9,6,6,9
